year;areakm;municipality;geocode_ibge;state
2007;1005,7092256458739;Acrelândia;1200013;Acre
2008;23,667086506330076;Acrelândia;1200013;Acre
2009;12,938233470841887;Acrelândia;1200013;Acre
2010;11,332077910930392;Acrelândia;1200013;Acre
2011;15,938637565929199;Acrelândia;1200013;Acre
2012;4,164717505272149;Acrelândia;1200013;Acre
2013;9,475556251083084;Acrelândia;1200013;Acre
2014;18,89677268322738;Acrelândia;1200013;Acre
2015;14,761802283201147;Acrelândia;1200013;Acre
2016;23,80569057500757;Acrelândia;1200013;Acre
2017;5,710904951294498;Acrelândia;1200013;Acre
2018;21,78442200065523;Acrelândia;1200013;Acre
2019;19,887947144833852;Acrelândia;1200013;Acre
2020;12,937555760472724;Acrelândia;1200013;Acre
2021;38,26531229894869;Acrelândia;1200013;Acre
2022;18,502625100248142;Acrelândia;1200013;Acre
2023;12,046049770524078;Acrelândia;1200013;Acre
2007;234,3980249508553;Assis Brasil;1200054;Acre
2008;3,4195264346510084;Assis Brasil;1200054;Acre
2009;1,600698996897855;Assis Brasil;1200054;Acre
2010;3,7737745178945006;Assis Brasil;1200054;Acre
2011;2,81938379679965;Assis Brasil;1200054;Acre
2012;2,39874956828617;Assis Brasil;1200054;Acre
2013;4,803777966241907;Assis Brasil;1200054;Acre
2014;7,675468221457928;Assis Brasil;1200054;Acre
2015;5,9392785733725555;Assis Brasil;1200054;Acre
2016;2,893949749259666;Assis Brasil;1200054;Acre
2017;6,391257481911597;Assis Brasil;1200054;Acre
2018;7,925865348224259;Assis Brasil;1200054;Acre
2019;21,143888827873266;Assis Brasil;1200054;Acre
2020;18,174809651320643;Assis Brasil;1200054;Acre
2021;17,649863773246004;Assis Brasil;1200054;Acre
2022;8,366870973826273;Assis Brasil;1200054;Acre
2023;6,435927685641831;Assis Brasil;1200054;Acre
2007;1201,1294319303342;Brasiléia;1200104;Acre
2008;12,65978449970567;Brasiléia;1200104;Acre
2009;8,217565014533543;Brasiléia;1200104;Acre
2010;11,955010528845433;Brasiléia;1200104;Acre
2011;14,519025024866574;Brasiléia;1200104;Acre
2012;12,888066060989528;Brasiléia;1200104;Acre
2013;17,19425874248283;Brasiléia;1200104;Acre
2014;33,423979112510324;Brasiléia;1200104;Acre
2015;22,060364191252216;Brasiléia;1200104;Acre
2016;17,714445001640986;Brasiléia;1200104;Acre
2017;23,10499312256575;Brasiléia;1200104;Acre
2018;21,087136425462376;Brasiléia;1200104;Acre
2019;58,61065735315567;Brasiléia;1200104;Acre
2020;40,12106795338994;Brasiléia;1200104;Acre
2021;61,01109482171753;Brasiléia;1200104;Acre
2022;30,50048488450648;Brasiléia;1200104;Acre
2023;22,354083200991777;Brasiléia;1200104;Acre
2007;1116,9559363778208;Bujari;1200138;Acre
2008;15,77207995001307;Bujari;1200138;Acre
2009;7,621237020084381;Bujari;1200138;Acre
2010;8,260086475385206;Bujari;1200138;Acre
2011;9,56616796308901;Bujari;1200138;Acre
2012;10,106807410077671;Bujari;1200138;Acre
2013;8,3748764856891;Bujari;1200138;Acre
2014;8,985015685492556;Bujari;1200138;Acre
2015;9,356973416325882;Bujari;1200138;Acre
2016;17,287004592203974;Bujari;1200138;Acre
2017;7,629898078427354;Bujari;1200138;Acre
2018;13,712393188463924;Bujari;1200138;Acre
2019;26,05459833192278;Bujari;1200138;Acre
2020;17,651505984106798;Bujari;1200138;Acre
2021;25,80004562859251;Bujari;1200138;Acre
2022;37,21034201244903;Bujari;1200138;Acre
2023;15,990267940224836;Bujari;1200138;Acre
